model,T_test,t,rmse_t_mean,rmse_t_std
DeepONet,6.0,4.285714285714286,0.18497847020626068,0.019806315101143224
DeepONet,6.0,4.3809523809523805,0.18625014126300812,0.0141434995903002
DeepONet,6.0,4.476190476190476,0.18679794371128083,0.008178921981844374
DeepONet,6.0,4.571428571428571,0.18660145699977876,0.003613623043050873
DeepONet,6.0,4.666666666666666,0.18584437370300294,0.0058581890129799944
DeepONet,6.0,4.761904761904762,0.18470138311386108,0.01015134339135957
DeepONet,6.0,4.857142857142857,0.18339580595493316,0.01405297838024227
DeepONet,6.0,4.9523809523809526,0.181935715675354,0.017700391778941598
DeepONet,6.0,5.0476190476190474,0.18005551397800446,0.02131461337195851
DeepONet,6.0,5.142857142857142,0.17774150967597963,0.024825571104305836
DeepONet,6.0,5.238095238095238,0.1752366840839386,0.028032583349544643
DeepONet,6.0,5.333333333333333,0.17302069067955017,0.030389194821937734
DeepONet,6.0,5.428571428571428,0.17108557522296905,0.03147149364143064
DeepONet,6.0,5.523809523809524,0.16913496255874633,0.0313064076569769
DeepONet,6.0,5.619047619047619,0.16659423410892488,0.030192569653806182
DeepONet,6.0,5.7142857142857135,0.16322197020053864,0.028191255740911914
DeepONet,6.0,5.809523809523809,0.15901688635349273,0.02521494645888293
DeepONet,6.0,5.904761904761904,0.1543599158525467,0.02132776922205839
DeepONet,6.0,6.0,0.1497092604637146,0.016561093996982978
FNO,4.0,0.0,0.09797673374414444,0.03039651703342654
FNO,4.0,0.06349206349206349,0.09928694963455201,0.036403480006515755
FNO,4.0,0.12698412698412698,0.09893437176942825,0.03449053793768239
FNO,4.0,0.19047619047619047,0.10206496715545654,0.039421178169112545
FNO,4.0,0.25396825396825395,0.10423033088445663,0.04269113094303322
FNO,4.0,0.31746031746031744,0.1060675710439682,0.04207710630184233
FNO,4.0,0.38095238095238093,0.10788704454898834,0.04038166335532172
FNO,4.0,0.4444444444444444,0.10901357978582382,0.03817257098479414
FNO,4.0,0.5079365079365079,0.11459014266729355,0.04038500866713718
FNO,4.0,0.5714285714285714,0.11789199560880662,0.040282871397896707
FNO,4.0,0.6349206349206349,0.1220427006483078,0.039829668013222054
FNO,4.0,0.6984126984126984,0.1266448065638542,0.042001022911400857
FNO,4.0,0.7619047619047619,0.13171387910842897,0.03946666685820803
FNO,4.0,0.8253968253968254,0.13670620173215867,0.0378900015468188
FNO,4.0,0.8888888888888888,0.14062249809503555,0.03647880888937037
FNO,4.0,0.9523809523809523,0.14232318699359894,0.029973484742443757
FNO,4.0,1.0158730158730158,0.14753064513206482,0.028638526732680112
FNO,4.0,1.0793650793650793,0.15241730809211732,0.03008662403556247
FNO,4.0,1.1428571428571428,0.15324392318725585,0.02685313341731036
FNO,4.0,1.2063492063492063,0.15793651938438416,0.030096992446484415
FNO,4.0,1.2698412698412698,0.1617284119129181,0.031643504896171244
FNO,4.0,1.3333333333333333,0.16067586839199066,0.023331697460779604
FNO,4.0,1.3968253968253967,0.16179546117782592,0.023634887977400227
FNO,4.0,1.4603174603174602,0.164825439453125,0.023372211446382088
FNO,4.0,1.5238095238095237,0.16470238864421843,0.018192033873037177
FNO,4.0,1.5873015873015872,0.16352300643920897,0.01620882903880199
FNO,4.0,1.6507936507936507,0.16634044647216797,0.01754790061695787
FNO,4.0,1.7142857142857142,0.16774450838565827,0.018547546880096286
FNO,4.0,1.7777777777777777,0.16962172389030455,0.02253493449572768
FNO,4.0,1.8412698412698412,0.1680749237537384,0.021919272658326633
FNO,4.0,1.9047619047619047,0.1663592517375946,0.01732090137610625
FNO,4.0,1.9682539682539681,0.16619156897068024,0.020101033889009943
FNO,4.0,2.0317460317460316,0.1644817680120468,0.01918977613126613
FNO,4.0,2.095238095238095,0.1604828804731369,0.014598656860118343
FNO,4.0,2.1587301587301586,0.16000364124774932,0.014335105262257578
FNO,4.0,2.2222222222222223,0.16050340235233307,0.01609032336225358
FNO,4.0,2.2857142857142856,0.16104386150836944,0.01838478806176611
FNO,4.0,2.349206349206349,0.15930055677890778,0.01755021980719572
FNO,4.0,2.4126984126984126,0.15745725929737092,0.01982110955130464
FNO,4.0,2.4761904761904763,0.156196728348732,0.02082347873389499
FNO,4.0,2.5396825396825395,0.15663201808929444,0.022976893632812908
FNO,4.0,2.603174603174603,0.15599106550216674,0.021389391120550213
FNO,4.0,2.6666666666666665,0.1552354097366333,0.01843776034483614
FNO,4.0,2.7301587301587302,0.15606198012828826,0.01927546932230479
FNO,4.0,2.7936507936507935,0.1589471161365509,0.023142426405773457
FNO,4.0,2.8571428571428568,0.1586659222841263,0.024328372053687486
FNO,4.0,2.9206349206349205,0.15900318920612336,0.02232301780060487
FNO,4.0,2.984126984126984,0.1578743875026703,0.024305599440783095
FNO,4.0,3.0476190476190474,0.15997673571109772,0.028918962129417646
FNO,4.0,3.1111111111111107,0.160663965344429,0.026024541181139508
FNO,4.0,3.1746031746031744,0.16099997162818908,0.023955682358706896
FNO,4.0,3.238095238095238,0.16175644397735595,0.020911938591845848
FNO,4.0,3.3015873015873014,0.1615323692560196,0.02247886466773152
FNO,4.0,3.3650793650793647,0.16213153898715973,0.020458271918134183
FNO,4.0,3.4285714285714284,0.16361095607280732,0.020964582265163765
FNO,4.0,3.492063492063492,0.16364071667194366,0.020970411158713145
FNO,4.0,3.5555555555555554,0.1652455747127533,0.023899155763620106
FNO,4.0,3.6190476190476186,0.1653767168521881,0.02576357806183077
FNO,4.0,3.6825396825396823,0.16738803386688234,0.024387274407807243
FNO,4.0,3.746031746031746,0.16786763966083526,0.025597317724522606
FNO,4.0,3.8095238095238093,0.16901251673698425,0.023699822107576967
FNO,4.0,3.8730158730158726,0.16930703520774842,0.02330913709567799
FNO,4.0,3.9365079365079363,0.17120506167411803,0.02538953068285057
FNO,4.0,4.0,0.17280283570289612,0.025024500629985888
FNO,6.0,0.0,0.12054841667413711,0.04228611833931966
FNO,6.0,0.09523809523809523,0.1222047120332718,0.04486105697992902
FNO,6.0,0.19047619047619047,0.12812526226043702,0.04506731486270193
FNO,6.0,0.2857142857142857,0.1272898107767105,0.04546669207578332
FNO,6.0,0.38095238095238093,0.13146539330482482,0.046720678989483844
FNO,6.0,0.47619047619047616,0.1361399546265602,0.04694198396012402
FNO,6.0,0.5714285714285714,0.14095703810453414,0.04941658099167394
FNO,6.0,0.6666666666666666,0.14727692306041718,0.04908760310092783
FNO,6.0,0.7619047619047619,0.15414308309555053,0.04760348334574078
FNO,6.0,0.8571428571428571,0.1612204134464264,0.04864684065107839
FNO,6.0,0.9523809523809523,0.16969510018825532,0.04895146004011148
FNO,6.0,1.0476190476190474,0.1764600843191147,0.041856485193138435
FNO,6.0,1.1428571428571428,0.18160107731819153,0.04237485072268925
FNO,6.0,1.2380952380952381,0.18805340826511383,0.04502377740182197
FNO,6.0,1.3333333333333333,0.19318484365940095,0.03974873708149405
FNO,6.0,1.4285714285714284,0.1948838233947754,0.0362734425426401
FNO,6.0,1.5238095238095237,0.200800821185112,0.037157790603561155
FNO,6.0,1.619047619047619,0.20222120881080627,0.03473522555221359
FNO,6.0,1.7142857142857142,0.1994581252336502,0.03379426956386059
FNO,6.0,1.8095238095238093,0.20013926327228546,0.031466444224587706
FNO,6.0,1.9047619047619047,0.19780437052249908,0.02900660063623333
FNO,6.0,2.0,0.1960267335176468,0.031667019351916785
FNO,6.0,2.095238095238095,0.19313255548477173,0.02726897379243126
FNO,6.0,2.1904761904761902,0.19107986986637115,0.02690335181258453
FNO,6.0,2.2857142857142856,0.1878702700138092,0.024821863080342454
FNO,6.0,2.380952380952381,0.18665364682674407,0.02582464921443852
FNO,6.0,2.4761904761904763,0.1816181033849716,0.022497634334169635
FNO,6.0,2.571428571428571,0.1764359712600708,0.023691529293886918
FNO,6.0,2.6666666666666665,0.17469737827777862,0.02237951431587677
FNO,6.0,2.761904761904762,0.1775856614112854,0.025952757628287377
FNO,6.0,2.8571428571428568,0.1753932684659958,0.027957242487589448
FNO,6.0,2.952380952380952,0.17725965976715088,0.025362508402423045
FNO,6.0,3.0476190476190474,0.17871476709842682,0.02851800738226137
FNO,6.0,3.142857142857143,0.1775261014699936,0.02631441795118191
FNO,6.0,3.238095238095238,0.1780312180519104,0.029300997303991588
FNO,6.0,3.333333333333333,0.18331319093704224,0.026724363887439213
FNO,6.0,3.4285714285714284,0.18549689948558806,0.03019365053448587
FNO,6.0,3.5238095238095237,0.1882410764694214,0.027696475917609004
FNO,6.0,3.6190476190476186,0.19006487727165222,0.02912921006612897
FNO,6.0,3.714285714285714,0.19218866229057313,0.03049276667694884
FNO,6.0,3.8095238095238093,0.1947808623313904,0.030018791656832758
FNO,6.0,3.9047619047619047,0.19839694499969482,0.02755369471332862
FNO,6.0,4.0,0.19759286046028138,0.02822866342902402
FNO,6.0,4.095238095238095,0.2003123492002487,0.027791225438762036
FNO,6.0,4.19047619047619,0.20037103891372682,0.023899303348331506
FNO,6.0,4.285714285714286,0.2016855835914612,0.02137468619147947
FNO,6.0,4.3809523809523805,0.20377826392650605,0.019738075136967716
FNO,6.0,4.476190476190476,0.20287403762340545,0.022495654000302533
FNO,6.0,4.571428571428571,0.20417652130126954,0.02208607385564184
FNO,6.0,4.666666666666666,0.2029845803976059,0.025963362435218146
FNO,6.0,4.761904761904762,0.20386702716350555,0.027581439484782817
FNO,6.0,4.857142857142857,0.20125705301761626,0.02965684841478008
FNO,6.0,4.9523809523809526,0.19993799328804016,0.031651420536771356
FNO,6.0,5.0476190476190474,0.20095278322696686,0.03683762509332645
